s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 9.0370111E+000, 2.3561850E+002,-4.6405667E+001, 3.3110759E-001,-5.7982827E+000,-1.5412270E-002, 7.2993153E+001, 0.0000000E+000, 2.5151702E+002, 2.5672340E+002, 3.4279293E+001, 5.0112787E-003, 0.0000000E+000, 2.5147333E+002,-2.9973031E+000,-2.9797743E+000,-2.9622031E+000,-2.9403856E+000,-2.9598126E+000,-2.9632896E+000
 9.2026920E+000, 2.3629737E+002,-4.7022591E+001, 3.4042854E-001,-6.0833612E+000,-1.5673204E-002, 7.3529831E+001, 0.0000000E+000, 2.5555383E+002, 2.5704601E+002, 3.4279293E+001, 5.1011224E-003, 0.0000000E+000, 2.6123783E+002,-3.0010758E+000,-2.9822203E+000,-2.9626128E+000,-2.9415610E+000,-2.9626609E+000,-2.9634719E+000
 9.3452158E+000, 2.4534281E+002,-4.7428503E+001, 3.4941896E-001,-6.3591440E+000,-1.5901021E-002, 7.5142415E+001, 0.0000000E+000, 2.5519463E+002, 2.6703109E+002, 3.4279293E+001, 5.1809834E-003, 0.0000000E+000, 2.6962701E+002,-3.0047602E+000,-2.9847320E+000,-2.9632685E+000,-2.9429206E+000,-2.9659614E+000,-2.9643644E+000
 9.4877396E+000, 2.4145198E+002,-4.7856472E+001, 3.5588138E-001,-6.6485940E+000,-1.6128615E-002, 7.5918029E+001, 0.0000000E+000, 2.6696828E+002, 2.6320470E+002, 3.4279294E+001, 5.2608444E-003, 0.0000000E+000, 2.7839950E+002,-3.0085564E+000,-2.9871980E+000,-2.9641118E+000,-2.9444266E+000,-2.9697853E+000,-2.9657243E+000
 9.6302633E+000, 2.4292228E+002,-4.7930544E+001, 3.6437301E-001,-6.9198998E+000,-1.6355098E-002, 7.5237058E+001, 0.0000000E+000, 2.6056447E+002, 2.6365691E+002, 3.4279294E+001, 5.3407054E-003, 0.0000000E+000, 2.8696419E+002,-3.0122603E+000,-2.9894833E+000,-2.9650777E+000,-2.9458767E+000,-2.9739450E+000,-2.9674160E+000
 9.7727880E+000, 2.4248486E+002,-4.8656051E+001, 3.7117498E-001,-7.1865531E+000,-1.6580540E-002, 7.5185808E+001, 0.0000000E+000, 2.6215227E+002, 2.6218266E+002, 3.4279294E+001, 5.4205664E-003, 0.0000000E+000, 2.9558086E+002,-3.0155839E+000,-2.9915688E+000,-2.9660729E+000,-2.9470384E+000,-2.9781666E+000,-2.9692420E+000
 9.9153118E+000, 2.4407810E+002,-4.7638330E+001, 3.7848959E-001,-7.4246602E+000,-1.6802618E-002, 7.5388083E+001, 0.0000000E+000, 2.6018945E+002, 2.6476488E+002, 3.4279294E+001, 5.5004275E-003, 0.0000000E+000, 3.0413422E+002,-3.0182848E+000,-2.9933302E+000,-2.9670139E+000,-2.9476396E+000,-2.9822136E+000,-2.9710192E+000
 1.0043373E+001, 2.4992146E+002,-4.8123900E+001, 3.8442975E-001,-7.6307770E+000,-1.6985175E-002, 7.6886124E+001, 0.0000000E+000, 2.6349831E+002, 2.7142035E+002, 3.4279294E+001, 5.5703058E-003, 0.0000000E+000, 3.1191665E+002,-3.0199936E+000,-2.9945574E+000,-2.9677421E+000,-2.9475795E+000,-2.9854949E+000,-2.9724180E+000
 1.0157265E+001, 2.5426599E+002,-4.9516589E+001, 3.8881992E-001,-7.7926499E+000,-1.7140865E-002, 7.8483204E+001, 0.0000000E+000, 2.7074478E+002, 2.7581164E+002, 3.4279294E+001, 5.6302016E-003, 0.0000000E+000, 3.1902619E+002,-3.0208399E+000,-2.9951575E+000,-2.9682250E+000,-2.9471395E+000,-2.9879140E+000,-2.9733283E+000
 1.0271155E+001, 2.5399335E+002,-4.9940469E+001, 3.9280190E-001,-7.9380534E+000,-1.7328641E-002, 7.8890969E+001, 0.0000000E+000, 2.7470395E+002, 2.7538127E+002, 3.4279294E+001, 5.7000800E-003, 0.0000000E+000, 3.2623875E+002,-3.0211179E+000,-2.9953305E+000,-2.9685292E+000,-2.9465441E+000,-2.9897592E+000,-2.9738603E+000
 1.0385047E+001, 2.5646740E+002,-5.0605727E+001, 3.9778353E-001,-8.0695631E+000,-1.7489416E-002, 7.9069178E+001, 0.0000000E+000, 2.7354585E+002, 2.7724159E+002, 3.4279294E+001, 5.7599758E-003, 0.0000000E+000, 3.3342152E+002,-3.0208999E+000,-2.9952942E+000,-2.9686526E+000,-2.9458720E+000,-2.9909840E+000,-2.9740177E+000
 1.0498938E+001, 2.5921578E+002,-5.1705963E+001, 4.0241547E-001,-8.2031846E+000,-1.7654024E-002, 7.9717334E+001, 0.0000000E+000, 2.7589589E+002, 2.7940873E+002, 3.4279294E+001, 5.8198715E-003, 0.0000000E+000, 3.4066599E+002,-3.0202908E+000,-2.9952186E+000,-2.9686040E+000,-2.9451550E+000,-2.9915647E+000,-2.9738297E+000
 1.0612829E+001, 2.6348695E+002,-5.3565276E+001, 4.0754044E-001,-8.3402975E+000,-1.7849580E-002, 8.0480689E+001, 0.0000000E+000, 2.7802404E+002, 2.8245176E+002, 3.4279294E+001, 5.8897499E-003, 0.0000000E+000, 3.4796637E+002,-3.0194362E+000,-2.9951916E+000,-2.9684114E+000,-2.9443756E+000,-2.9915357E+000,-2.9733646E+000
 1.0726720E+001, 2.6856064E+002,-5.4585137E+001, 4.1322062E-001,-8.4741372E+000,-1.8010324E-002, 8.1718377E+001, 0.0000000E+000, 2.8121690E+002, 2.8761495E+002, 3.4279294E+001, 5.9496457E-003, 0.0000000E+000, 3.5535000E+002,-3.0184918E+000,-2.9952783E+000,-2.9681121E+000,-2.9435281E+000,-2.9909615E+000,-2.9727072E+000
 1.0840611E+001, 2.7354033E+002,-5.8566838E+001, 4.1895129E-001,-8.6055724E+000,-1.8155695E-002, 8.2675381E+001, 0.0000000E+000, 2.8671435E+002, 2.8944410E+002, 3.4279294E+001, 6.0095414E-003, 0.0000000E+000, 3.6287635E+002,-3.0176013E+000,-2.9954848E+000,-2.9677467E+000,-2.9426061E+000,-2.9899306E+000,-2.9719480E+000
