s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7
 1.0213102E+001, 1.5564433E+002,-2.3774373E+001, 4.0319018E-001,-4.4838240E+000,-1.0535101E-002, 5.0190868E+001, 0.0000000E+000, 1.7088262E+002, 1.7796966E+002, 3.4279294E+001, 3.3940932E-003, 0.0000000E+000, 2.0417566E+002,-2.9739880E+000,-2.9809564E+000,-2.9580491E+000,-2.9436249E+000,-2.9583614E+000,-2.9493841E+000
 1.0534426E+001, 1.6012020E+002,-2.9455290E+001, 4.1496587E-001,-4.7830438E+000,-1.0783176E-002, 5.0637305E+001, 0.0000000E+000, 1.7598736E+002, 1.7692336E+002, 3.4279294E+001, 3.4789455E-003, 0.0000000E+000, 2.1724359E+002,-2.9796079E+000,-2.9847274E+000,-2.9599455E+000,-2.9462556E+000,-2.9674667E+000,-2.9523716E+000
 1.0855750E+001, 1.6126684E+002,-3.5302568E+001, 4.3056153E-001,-5.1717098E+000,-1.1098590E-002, 4.9501393E+001, 0.0000000E+000, 1.7494073E+002, 1.7071342E+002, 3.4279294E+001, 3.5887544E-003, 0.0000000E+000, 2.3023794E+002,-2.9834279E+000,-2.9875358E+000,-2.9616406E+000,-2.9470269E+000,-2.9758985E+000,-2.9551785E+000
 1.1177073E+001, 1.6385295E+002,-3.4851282E+001, 4.4635654E-001,-5.4778195E+000,-1.1397160E-002, 4.8739908E+001, 0.0000000E+000, 1.6566086E+002, 1.7269871E+002, 3.4279294E+001, 3.6935720E-003, 0.0000000E+000, 2.4255590E+002,-2.9847925E+000,-2.9894241E+000,-2.9626459E+000,-2.9450145E+000,-2.9819429E+000,-2.9567935E+000
 1.1498398E+001, 1.6759832E+002,-3.3680933E+001, 4.6179119E-001,-5.7398548E+000,-1.1713170E-002, 5.1088453E+001, 0.0000000E+000, 1.7563538E+002, 1.7971606E+002, 3.4279294E+001, 3.7983896E-003, 0.0000000E+000, 2.5560308E+002,-2.9841227E+000,-2.9899268E+000,-2.9627870E+000,-2.9406982E+000,-2.9847668E+000,-2.9568522E+000
 1.1819721E+001, 1.7397682E+002,-3.4098100E+001, 4.7787983E-001,-5.9730297E+000,-1.2057897E-002, 5.3172806E+001, 0.0000000E+000, 1.8220889E+002, 1.8754431E+002, 3.4279294E+001, 3.9081985E-003, 0.0000000E+000, 2.6913253E+002,-2.9826421E+000,-2.9900970E+000,-2.9621694E+000,-2.9364272E+000,-2.9842631E+000,-2.9555630E+000
 1.2141046E+001, 1.8067245E+002,-3.5512808E+001, 4.9530971E-001,-6.1993585E+000,-1.2362915E-002, 5.5261113E+001, 0.0000000E+000, 1.8976877E+002, 1.9470434E+002, 3.4279294E+001, 4.0130160E-003, 0.0000000E+000, 2.8321666E+002,-2.9816666E+000,-2.9909849E+000,-2.9611454E+000,-2.9335330E+000,-2.9810727E+000,-2.9536737E+000
 1.2301707E+001, 1.8536187E+002,-3.8671208E+001, 5.0883632E-001,-6.3482790E+000,-1.2549827E-002, 5.6392707E+001, 0.0000000E+000, 1.9573689E+002, 1.9723138E+002, 3.4279294E+001, 4.0928771E-003, 0.0000000E+000, 2.9047744E+002,-2.9816271E+000,-2.9917957E+000,-2.9606092E+000,-2.9325711E+000,-2.9788014E+000,-2.9527759E+000
 1.2713900E+001, 1.9389331E+002,-4.2351475E+001, 5.2512307E-001,-6.5083052E+000,-1.2795483E-002, 5.7776786E+001, 0.0000000E+000, 1.9882437E+002, 2.0332264E+002, 3.4279294E+001, 4.1860482E-003, 0.0000000E+000, 3.0939814E+002,-2.9827157E+000,-2.9935252E+000,-2.9595028E+000,-2.9311050E+000,-2.9722728E+000,-2.9512554E+000
 1.2988694E+001, 1.9505186E+002,-4.3346132E+001, 5.4517800E-001,-6.7000746E+000,-1.3185906E-002, 5.8273697E+001, 0.0000000E+000, 2.0221363E+002, 2.0381134E+002, 3.4279294E+001, 4.2975209E-003, 0.0000000E+000, 3.2222625E+002,-2.9833600E+000,-2.9935233E+000,-2.9590555E+000,-2.9305818E+000,-2.9684399E+000,-2.9509733E+000
